customer_id,created_at,region,acquisition_channel
CUST-0001,2024-11-23,North America,Organic Search
CUST-0002,2025-01-14,Asia-Pacific,Paid Ads
CUST-0003,2024-04-24,Europe,Organic Search
CUST-0004,2024-12-12,North America,Outreach
CUST-0005,2024-01-17,North America,Organic Search
CUST-0006,2024-04-21,Europe,Organic Search
CUST-0007,2024-10-14,Europe,Outreach
CUST-0008,2024-04-22,Latin America,Referral
CUST-0009,2025-02-18,North America,Paid Ads
CUST-0010,2024-12-23,Latin America,Referral
CUST-0011,2024-05-22,Europe,Paid Ads
CUST-0012,2025-05-05,Asia-Pacific,Organic Search
CUST-0013,2024-02-17,Latin America,Organic Search
CUST-0014,2024-07-02,Asia-Pacific,Referral
CUST-0015,2025-02-17,North America,Outreach
CUST-0016,2024-10-01,North America,Outreach
CUST-0017,2024-02-10,Asia-Pacific,Referral
CUST-0018,2024-10-22,Europe,Organic Search
CUST-0019,2024-01-24,Europe,Referral
CUST-0020,2024-02-10,Europe,Organic Search
CUST-0021,2024-07-13,Asia-Pacific,Outreach
CUST-0022,2024-11-21,Asia-Pacific,Paid Ads
CUST-0023,2024-07-08,Asia-Pacific,Paid Ads
CUST-0024,2024-12-09,Asia-Pacific,Organic Search
CUST-0025,2024-11-07,Europe,Paid Ads
CUST-0026,2024-03-24,Latin America,Outreach
CUST-0027,2024-05-18,Europe,Referral
CUST-0028,2025-03-07,North America,Paid Ads
CUST-0029,2025-02-24,North America,Referral
CUST-0030,2024-07-24,Asia-Pacific,Organic Search
CUST-0031,2024-04-18,Asia-Pacific,Paid Ads
CUST-0032,2024-12-01,Latin America,Outreach
CUST-0033,2025-03-28,Latin America,Paid Ads
CUST-0034,2024-05-15,Europe,Paid Ads
CUST-0035,2025-01-16,Asia-Pacific,Outreach
CUST-0036,2025-04-04,Latin America,Referral
CUST-0037,2024-04-22,Europe,Outreach
CUST-0038,2024-02-16,North America,Organic Search
CUST-0039,2024-03-19,Europe,Outreach
CUST-0040,2024-11-01,North America,Outreach
CUST-0041,2024-07-14,Latin America,Referral
CUST-0042,2025-05-12,North America,Organic Search
CUST-0043,2024-12-15,Asia-Pacific,Referral
CUST-0044,2024-02-27,Asia-Pacific,Outreach
CUST-0045,2024-03-21,Latin America,Organic Search
CUST-0046,2025-05-03,Asia-Pacific,Paid Ads
CUST-0047,2024-09-16,North America,Referral
CUST-0048,2025-03-06,Europe,Paid Ads
CUST-0049,2024-07-10,Europe,Organic Search
CUST-0050,2024-11-02,Asia-Pacific,Outreach
CUST-0051,2024-01-10,North America,Referral
CUST-0052,2025-03-25,Asia-Pacific,Paid Ads
CUST-0053,2024-01-30,Europe,Organic Search
CUST-0054,2024-02-13,Latin America,Organic Search
CUST-0055,2025-05-15,Europe,Paid Ads
CUST-0056,2024-12-03,Latin America,Paid Ads
CUST-0057,2024-05-15,Latin America,Paid Ads
CUST-0058,2025-04-20,Europe,Referral
CUST-0059,2024-07-23,Asia-Pacific,Outreach
CUST-0060,2025-04-05,Latin America,Organic Search
CUST-0061,2024-05-06,Europe,Organic Search
CUST-0062,2024-06-22,North America,Paid Ads
CUST-0063,2024-10-28,Europe,Organic Search
CUST-0064,2024-02-06,North America,Paid Ads
CUST-0065,2024-02-04,North America,Referral
CUST-0066,2024-02-06,Europe,Referral
CUST-0067,2024-12-08,Latin America,Paid Ads
CUST-0068,2024-10-03,Europe,Outreach
CUST-0069,2024-05-04,Latin America,Outreach
CUST-0070,2024-04-07,North America,Organic Search
CUST-0071,2024-12-03,Latin America,Referral
CUST-0072,2024-08-04,Latin America,Outreach
CUST-0073,2025-03-18,North America,Organic Search
CUST-0074,2024-02-01,Latin America,Referral
CUST-0075,2025-02-13,North America,Paid Ads
CUST-0076,2024-04-08,Europe,Outreach
CUST-0077,2024-03-12,Latin America,Paid Ads
CUST-0078,2024-05-22,Latin America,Paid Ads
CUST-0079,2025-03-23,North America,Outreach
CUST-0080,2025-02-17,North America,Organic Search
CUST-0081,2024-11-29,North America,Organic Search
CUST-0082,2025-04-19,Europe,Paid Ads
CUST-0083,2024-07-27,Latin America,Outreach
CUST-0084,2024-04-19,Latin America,Organic Search
CUST-0085,2024-03-25,Latin America,Organic Search
CUST-0086,2024-07-18,Asia-Pacific,Outreach
CUST-0087,2024-05-26,Latin America,Outreach
CUST-0088,2024-03-20,Europe,Referral
CUST-0089,2024-04-21,North America,Organic Search
CUST-0090,2025-01-17,Asia-Pacific,Organic Search
CUST-0091,2024-01-26,Latin America,Paid Ads
CUST-0092,2024-01-30,North America,Paid Ads
CUST-0093,2024-02-05,North America,Paid Ads
CUST-0094,2024-07-25,North America,Paid Ads
