payment_id,customer_id,payment_date,amount,status
PAY-000001,CUST-0001,2024-11-23,99,Success
PAY-000002,CUST-0001,2024-12-23,99,Success
PAY-000003,CUST-0001,2025-01-22,99,Success
PAY-000004,CUST-0001,2025-02-21,99,Success
PAY-000005,CUST-0001,2025-03-23,99,Success
PAY-000006,CUST-0001,2025-04-22,99,Success
PAY-000007,CUST-0001,2025-05-22,99,Success
PAY-000008,CUST-0001,2025-06-21,99,Success
PAY-000009,CUST-0001,2025-07-21,99,Success
PAY-000010,CUST-0001,2025-08-20,99,Success
PAY-000011,CUST-0001,2025-09-19,99,Success
PAY-000012,CUST-0001,2025-10-19,99,Success
PAY-000013,CUST-0001,2025-11-18,99,Success
PAY-000014,CUST-0001,2025-12-18,99,Success
PAY-000015,CUST-0001,2026-01-17,99,Success
PAY-000016,CUST-0001,2026-02-16,99,Success
PAY-000017,CUST-0001,2026-03-18,99,Success
PAY-000018,CUST-0001,2026-04-17,99,Success
PAY-000019,CUST-0001,2026-05-17,99,Success
PAY-000020,CUST-0001,2026-06-16,99,Success
PAY-000021,CUST-0002,2025-01-14,299,Failed
PAY-000022,CUST-0002,2025-02-13,299,Success
PAY-000023,CUST-0002,2025-03-15,299,Success
PAY-000024,CUST-0002,2025-04-14,299,Success
PAY-000025,CUST-0002,2025-05-14,299,Success
PAY-000026,CUST-0002,2025-06-13,299,Success
PAY-000027,CUST-0002,2025-07-13,299,Success
PAY-000028,CUST-0002,2025-08-12,299,Success
PAY-000029,CUST-0002,2025-09-11,299,Success
PAY-000030,CUST-0002,2025-10-11,299,Success
PAY-000031,CUST-0002,2025-11-10,299,Success
PAY-000032,CUST-0002,2025-12-10,299,Success
PAY-000033,CUST-0002,2026-01-09,299,Success
PAY-000034,CUST-0002,2026-02-08,299,Success
PAY-000035,CUST-0002,2026-03-10,299,Success
PAY-000036,CUST-0002,2026-04-09,299,Success
PAY-000037,CUST-0002,2026-05-09,299,Success
PAY-000038,CUST-0002,2026-06-08,299,Success
PAY-000039,CUST-0003,2024-04-24,99,Failed
PAY-000040,CUST-0003,2024-05-24,99,Success
PAY-000041,CUST-0003,2024-06-23,99,Success
PAY-000042,CUST-0003,2024-07-23,99,Success
PAY-000043,CUST-0003,2024-08-22,99,Success
PAY-000044,CUST-0003,2024-09-21,99,Failed
PAY-000045,CUST-0003,2024-10-21,99,Success
PAY-000046,CUST-0003,2024-11-20,99,Success
PAY-000047,CUST-0003,2024-12-20,99,Success
PAY-000048,CUST-0003,2025-01-19,99,Success
PAY-000049,CUST-0003,2025-02-18,99,Success
PAY-000050,CUST-0003,2025-03-20,99,Success
PAY-000051,CUST-0003,2025-04-19,99,Success
PAY-000052,CUST-0003,2025-05-19,99,Success
PAY-000053,CUST-0003,2025-06-18,99,Success
PAY-000054,CUST-0003,2025-07-18,99,Success
PAY-000055,CUST-0003,2025-08-17,99,Success
PAY-000056,CUST-0003,2025-09-16,99,Success
PAY-000057,CUST-0003,2025-10-16,99,Success
PAY-000058,CUST-0003,2025-11-15,99,Success
PAY-000059,CUST-0003,2025-12-15,99,Success
PAY-000060,CUST-0003,2026-01-14,99,Success
PAY-000061,CUST-0003,2026-02-13,99,Success
PAY-000062,CUST-0003,2026-03-15,99,Success
PAY-000063,CUST-0003,2026-04-14,99,Failed
PAY-000064,CUST-0003,2026-05-14,99,Success
PAY-000065,CUST-0003,2026-06-13,99,Success
PAY-000066,CUST-0004,2024-12-12,99,Success
PAY-000067,CUST-0004,2025-01-11,99,Success
PAY-000068,CUST-0004,2025-02-10,99,Success
PAY-000069,CUST-0004,2025-03-12,99,Success
PAY-000070,CUST-0004,2025-04-11,99,Success
PAY-000071,CUST-0004,2025-05-11,99,Success
