subscription_id,customer_id,plan_type,monthly_revenue,status,start_date,end_date
SUB-0001,CUST-0001,Pro,99,Active,2024-11-23,
SUB-0002,CUST-0002,Enterprise,299,Active,2025-01-14,
SUB-0003,CUST-0003,Pro,99,Active,2024-04-24,
SUB-0004,CUST-0004,Pro,99,Active,2024-12-12,
SUB-0005,CUST-0005,Pro,99,Active,2024-01-17,
SUB-0006,CUST-0006,Pro,99,Active,2024-04-21,
SUB-0007,CUST-0007,Pro,99,Cancelled,2024-10-14,2025-10-09
SUB-0008,CUST-0008,Basic,29,Active,2024-04-22,
SUB-0009,CUST-0009,Basic,29,Cancelled,2025-02-18,2026-02-13
SUB-0010,CUST-0010,Basic,29,Cancelled,2024-12-23,2025-08-20
SUB-0011,CUST-0011,Basic,29,Active,2024-05-22,
SUB-0012,CUST-0012,Enterprise,299,Cancelled,2025-05-05,2025-07-04
SUB-0013,CUST-0013,Pro,99,Cancelled,2024-02-17,2025-01-12
SUB-0014,CUST-0014,Pro,99,Cancelled,2024-07-02,2024-09-30
SUB-0015,CUST-0015,Pro,99,Active,2025-02-17,
SUB-0016,CUST-0016,Enterprise,299,Active,2024-10-01,
SUB-0017,CUST-0017,Pro,99,Active,2024-02-10,
SUB-0018,CUST-0018,Pro,99,Active,2024-10-22,
SUB-0019,CUST-0019,Pro,99,Active,2024-01-24,
SUB-0020,CUST-0020,Basic,29,Active,2024-02-10,
SUB-0021,CUST-0021,Basic,29,Cancelled,2024-07-13,2025-07-08
SUB-0022,CUST-0022,Basic,29,Active,2024-11-21,
SUB-0023,CUST-0023,Basic,29,Active,2024-07-08,
SUB-0024,CUST-0024,Basic,29,Cancelled,2024-12-09,2025-12-04
SUB-0025,CUST-0025,Pro,99,Active,2024-11-07,
SUB-0026,CUST-0026,Pro,99,Cancelled,2024-03-24,2025-02-17
SUB-0027,CUST-0027,Basic,29,Cancelled,2024-05-18,2025-05-13
SUB-0028,CUST-0028,Basic,29,Active,2025-03-07,
SUB-0029,CUST-0029,Basic,29,Cancelled,2025-02-24,2025-12-21
SUB-0030,CUST-0030,Basic,29,Active,2024-07-24,
SUB-0031,CUST-0031,Basic,29,Active,2024-04-18,
SUB-0032,CUST-0032,Basic,29,Cancelled,2024-12-01,2025-05-30
SUB-0033,CUST-0033,Basic,29,Active,2025-03-28,
SUB-0034,CUST-0034,Basic,29,Active,2024-05-15,
SUB-0035,CUST-0035,Basic,29,Active,2025-01-16,
SUB-0036,CUST-0036,Enterprise,299,Active,2025-04-04,
SUB-0037,CUST-0037,Enterprise,299,Active,2024-04-22,
SUB-0038,CUST-0038,Enterprise,299,Cancelled,2024-02-16,2025-02-10
SUB-0039,CUST-0039,Basic,29,Active,2024-03-19,
SUB-0040,CUST-0040,Enterprise,299,Active,2024-11-01,
SUB-0041,CUST-0041,Basic,29,Cancelled,2024-07-14,2025-03-11
SUB-0042,CUST-0042,Basic,29,Active,2025-05-12,
SUB-0043,CUST-0043,Basic,29,Active,2024-12-15,
SUB-0044,CUST-0044,Basic,29,Cancelled,2024-02-27,2024-07-26
SUB-0045,CUST-0045,Basic,29,Cancelled,2024-03-21,2025-02-14
SUB-0046,CUST-0046,Enterprise,299,Active,2025-05-03,
SUB-0047,CUST-0047,Pro,99,Active,2024-09-16,
SUB-0048,CUST-0048,Pro,99,Active,2025-03-06,
SUB-0049,CUST-0049,Basic,29,Active,2024-07-10,
SUB-0050,CUST-0050,Basic,29,Active,2024-11-02,
SUB-0051,CUST-0051,Pro,99,Active,2024-01-10,
SUB-0052,CUST-0052,Enterprise,299,Active,2025-03-25,
SUB-0053,CUST-0053,Enterprise,299,Active,2024-01-30,
SUB-0054,CUST-0054,Basic,29,Active,2024-02-13,
SUB-0055,CUST-0055,Basic,29,Cancelled,2025-05-15,2026-04-10
SUB-0056,CUST-0056,Basic,29,Active,2024-12-03,
SUB-0057,CUST-0057,Basic,29,Active,2024-05-15,
SUB-0058,CUST-0058,Basic,29,Cancelled,2025-04-20,2025-06-19
SUB-0059,CUST-0059,Basic,29,Cancelled,2024-07-23,2025-06-18
SUB-0060,CUST-0060,Basic,29,Active,2025-04-05,
SUB-0061,CUST-0061,Pro,99,Cancelled,2024-05-06,2024-07-05
SUB-0062,CUST-0062,Pro,99,Active,2024-06-22,
SUB-0063,CUST-0063,Basic,29,Cancelled,2024-10-28,2025-10-23
SUB-0064,CUST-0064,Enterprise,299,Active,2024-02-06,
SUB-0065,CUST-0065,Enterprise,299,Active,2024-02-04,
SUB-0066,CUST-0066,Basic,29,Active,2024-02-06,
SUB-0067,CUST-0067,Pro,99,Active,2024-12-08,
SUB-0068,CUST-0068,Basic,29,Cancelled,2024-10-03,2025-08-29
SUB-0069,CUST-0069,Pro,99,Active,2024-05-04,
SUB-0070,CUST-0070,Pro,99,Cancelled,2024-04-07,2025-03-03
SUB-0071,CUST-0071,Basic,29,Active,2024-12-03,
SUB-0072,CUST-0072,Pro,99,Active,2024-08-04,
SUB-0073,CUST-0073,Basic,29,Active,2025-03-18,
SUB-0074,CUST-0074,Pro,99,Cancelled,2024-02-01,2024-05-31
SUB-0075,CUST-0075,Basic,29,Active,2025-02-13,
SUB-0076,CUST-0076,Basic,29,Active,2024-04-08,
SUB-0077,CUST-0077,Basic,29,Active,2024-03-12,
SUB-0078,CUST-0078,Pro,99,Active,2024-05-22,
SUB-0079,CUST-0079,Basic,29,Cancelled,2025-03-23,2026-02-16
SUB-0080,CUST-0080,Pro,99,Active,2025-02-17,
SUB-0081,CUST-0081,Basic,29,Active,2024-11-29,
SUB-0082,CUST-0082,Enterprise,299,Cancelled,2025-04-19,2026-04-14
SUB-0083,CUST-0083,Pro,99,Cancelled,2024-07-27,2024-12-24
SUB-0084,CUST-0084,Enterprise,299,Active,2024-04-19,
SUB-0085,CUST-0085,Basic,29,Active,2024-03-25,
SUB-0086,CUST-0086,Enterprise,299,Active,2024-07-18,
SUB-0087,CUST-0087,Basic,29,Active,2024-05-26,
SUB-0088,CUST-0088,Basic,29,Active,2024-03-20,
SUB-0089,CUST-0089,Basic,29,Active,2024-04-21,
SUB-0090,CUST-0090,Basic,29,Active,2025-01-17,
SUB-0091,CUST-0091,Pro,99,Cancelled,2024-01-26,2024-02-25
SUB-0092,CUST-0092,Pro,99,Cancelled,2024-01-30,2024-03-30
SUB-0093,CUST-0093,Basic,29,Active,2024-02-05,
SUB-0094,CUST-0094,Pro,99,Active,2024-07-25,
SUB-0095,CUST-0095,Enterprise,299,Cancelled,2024-10-23,2024-11-22
SUB-0096,CUST-0096,Basic,29,Active,2024-08-02,
SUB-0097,CUST-0097,Basic,29,Active,2024-04-14,
SUB-0098,CUST-0098,Basic,29,Active,2024-05-15,
SUB-0099,CUST-0099,Pro,99,Active,2024-12-09,
SUB-0100,CUST-0100,Pro,99,Active,2024-06-10,
SUB-0101,CUST-0101,Pro,99,Active,2024-08-22,
SUB-0102,CUST-0102,Enterprise,299,Cancelled,2024-10-02,2025-08-28
SUB-0103,CUST-0103,Enterprise,299,Cancelled,2024-03-08,2025-02-01
SUB-0104,CUST-0104,Basic,29,Cancelled,2025-03-26,2025-07-24
SUB-0105,CUST-0105,Pro,99,Active,2024-05-25,
SUB-0106,CUST-0106,Pro,99,Cancelled,2025-03-02,2025-06-30
SUB-0107,CUST-0107,Pro,99,Active,2024-12-07,
SUB-0108,CUST-0108,Basic,29,Active,2025-04-25,
SUB-0109,CUST-0109,Pro,99,Active,2024-02-29,
SUB-0110,CUST-0110,Basic,29,Cancelled,2024-05-19,2025-04-14
SUB-0111,CUST-0111,Basic,29,Active,2025-01-02,
SUB-0112,CUST-0112,Enterprise,299,Active,2024-12-17,
SUB-0113,CUST-0113,Basic,29,Cancelled,2024-05-08,2024-10-05
SUB-0114,CUST-0114,Pro,99,Cancelled,2024-11-20,2025-09-16
SUB-0115,CUST-0115,Pro,99,Active,2024-01-23,
SUB-0116,CUST-0116,Basic,29,Active,2025-01-29,
SUB-0117,CUST-0117,Basic,29,Active,2024-03-23,
SUB-0118,CUST-0118,Pro,99,Active,2024-10-14,
SUB-0119,CUST-0119,Pro,99,Active,2024-02-08,
SUB-0120,CUST-0120,Pro,99,Active,2025-03-03,
SUB-0121,CUST-0121,Basic,29,Active,2024-08-08,
SUB-0122,CUST-0122,Basic,29,Cancelled,2024-06-06,2025-02-01
SUB-0123,CUST-0123,Enterprise,299,Active,2025-04-05,
SUB-0124,CUST-0124,Pro,99,Active,2024-12-15,
SUB-0125,CUST-0125,Basic,29,Active,2024-06-30,
SUB-0126,CUST-0126,Basic,29,Active,2025-04-18,
SUB-0127,CUST-0127,Basic,29,Active,2025-05-14,
SUB-0128,CUST-0128,Basic,29,Cancelled,2024-01-13,2024-09-09
SUB-0129,CUST-0129,Pro,99,Cancelled,2025-02-04,2026-01-30
SUB-0130,CUST-0130,Basic,29,Active,2024-05-16,
SUB-0131,CUST-0131,Basic,29,Active,2024-07-14,
SUB-0132,CUST-0132,Basic,29,Cancelled,2024-04-23,2025-04-18
SUB-0133,CUST-0133,Pro,99,Active,2024-06-28,
SUB-0134,CUST-0134,Pro,99,Active,2024-04-24,
SUB-0135,CUST-0135,Basic,29,Active,2024-07-23,
SUB-0136,CUST-0136,Pro,99,Active,2025-03-18,
SUB-0137,CUST-0137,Pro,99,Active,2024-06-28,
SUB-0138,CUST-0138,Pro,99,Active,2025-04-25,
SUB-0139,CUST-0139,Enterprise,299,Cancelled,2025-03-25,2026-01-19
SUB-0140,CUST-0140,Basic,29,Active,2024-10-24,
SUB-0141,CUST-0141,Basic,29,Cancelled,2024-02-25,2024-09-22
SUB-0142,CUST-0142,Basic,29,Active,2025-01-08,
SUB-0143,CUST-0143,Pro,99,Active,2024-11-06,
SUB-0144,CUST-0144,Basic,29,Cancelled,2025-04-05,2026-03-01
SUB-0145,CUST-0145,Enterprise,299,Cancelled,2024-01-23,2024-07-21
SUB-0146,CUST-0146,Pro,99,Active,2024-09-23,
SUB-0147,CUST-0147,Basic,29,Active,2024-08-08,
SUB-0148,CUST-0148,Pro,99,Cancelled,2024-11-15,2025-07-13
SUB-0149,CUST-0149,Basic,29,Cancelled,2025-01-03,2025-06-02
SUB-0150,CUST-0150,Basic,29,Active,2024-12-07,
SUB-0151,CUST-0151,Basic,29,Active,2024-07-25,
SUB-0152,CUST-0152,Pro,99,Active,2024-04-08,
SUB-0153,CUST-0153,Enterprise,299,Active,2024-12-12,
SUB-0154,CUST-0154,Basic,29,Active,2024-07-26,
SUB-0155,CUST-0155,Basic,29,Active,2024-05-26,
SUB-0156,CUST-0156,Pro,99,Cancelled,2025-02-06,2026-02-01
SUB-0157,CUST-0157,Pro,99,Active,2024-08-14,
SUB-0158,CUST-0158,Basic,29,Cancelled,2024-09-18,2024-12-17
SUB-0159,CUST-0159,Enterprise,299,Active,2024-12-03,
SUB-0160,CUST-0160,Pro,99,Cancelled,2024-09-20,2025-02-17
SUB-0161,CUST-0161,Enterprise,299,Active,2025-02-23,
SUB-0162,CUST-0162,Basic,29,Active,2024-04-25,
SUB-0163,CUST-0163,Basic,29,Cancelled,2024-01-13,2024-11-08
SUB-0164,CUST-0164,Basic,29,Active,2024-08-31,
SUB-0165,CUST-0165,Enterprise,299,Active,2024-07-31,
SUB-0166,CUST-0166,Pro,99,Active,2024-09-10,
SUB-0167,CUST-0167,Pro,99,Active,2024-03-16,
SUB-0168,CUST-0168,Pro,99,Active,2025-02-02,
SUB-0169,CUST-0169,Pro,99,Active,2024-03-31,
SUB-0170,CUST-0170,Basic,29,Cancelled,2024-10-12,2025-09-07
SUB-0171,CUST-0171,Basic,29,Cancelled,2024-08-21,2025-08-16
SUB-0172,CUST-0172,Basic,29,Active,2024-12-07,
SUB-0173,CUST-0173,Pro,99,Active,2024-11-09,
SUB-0174,CUST-0174,Basic,29,Active,2025-04-04,
SUB-0175,CUST-0175,Basic,29,Active,2024-08-18,
SUB-0176,CUST-0176,Basic,29,Active,2025-03-06,
SUB-0177,CUST-0177,Basic,29,Active,2024-11-16,
SUB-0178,CUST-0178,Enterprise,299,Active,2024-08-13,
SUB-0179,CUST-0179,Basic,29,Active,2024-04-30,
SUB-0180,CUST-0180,Basic,29,Active,2024-06-12,
SUB-0181,CUST-0181,Enterprise,299,Active,2024-03-18,
SUB-0182,CUST-0182,Basic,29,Cancelled,2024-12-21,2025-04-20
SUB-0183,CUST-0183,Enterprise,299,Cancelled,2024-02-02,2024-07-01
SUB-0184,CUST-0184,Enterprise,299,Active,2024-06-18,
SUB-0185,CUST-0185,Basic,29,Active,2024-02-01,
SUB-0186,CUST-0186,Basic,29,Active,2024-07-18,
SUB-0187,CUST-0187,Pro,99,Active,2024-09-01,
SUB-0188,CUST-0188,Basic,29,Cancelled,2024-06-01,2025-02-26
SUB-0189,CUST-0189,Basic,29,Active,2024-10-02,
SUB-0190,CUST-0190,Basic,29,Active,2024-04-22,
SUB-0191,CUST-0191,Pro,99,Cancelled,2024-09-05,2025-05-03
SUB-0192,CUST-0192,Basic,29,Active,2024-06-21,
